order_id,order_status,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,purchase_month,customer_city,customer_state,items,unique_products,unique_sellers,items_value_brl,freight_brl,payment_value_brl,review_score,delivery_days,delay_days_vs_estimate,on_time_flag,late_flag
bd48b93e5bd7c6e99a8b886f5add78c6,delivered,2017-11-11 21:46:08,2017-11-22 19:12:08,2017-12-11,2017-11,sao jose do rio preto,SP,1.0,1.0,1.0,129.8,25.75,155.55,2.0,10.893055555555556,-18.19990740740741,1,0
3536c2b6622912ea000e2358a139ddcb,delivered,2017-11-28 22:08:05,2017-12-11 21:37:22,2018-01-02,2017-11,parobe,RS,1.0,1.0,1.0,84.99,16.35,101.34,5.0,12.978668981481482,-21.099050925925926,1,0
69ad29a3aba936e80ea906bf73c631a8,delivered,2017-11-23 14:43:38,2017-12-19 18:28:37,2017-12-21,2017-11,brasilia,DF,1.0,1.0,1.0,499.0,41.04,540.04,3.0,26.156238425925928,-1.2301273148148149,1,0
1f43faaaec9d571cead8f6591ff97315,delivered,2017-11-06 21:42:01,2017-11-18 16:16:51,2017-12-01,2017-11,sao joao nepomuceno,MG,1.0,1.0,1.0,146.0,15.77,161.77,5.0,11.774189814814816,-12.321631944444444,1,0
a71763b37d5723556f170c6b45f540ed,delivered,2017-11-16 13:53:55,2017-11-24 19:27:33,2017-11-29,2017-11,jundiai,SP,1.0,1.0,1.0,23.89,9.34,33.23,3.0,8.231689814814814,-4.189201388888889,1,0
fc850201b579f014488f1cca40aaa06d,delivered,2017-11-04 13:39:41,2017-11-22 16:23:13,2017-11-27,2017-11,niteroi,RJ,1.0,1.0,1.0,34.9,14.1,49.0,5.0,18.11356481481481,-4.317210648148148,1,0
5b5474feb28b0c13b0da3b019883a9c2,delivered,2017-11-13 13:44:39,2017-11-21 20:54:03,2017-11-27,2017-11,guarulhos,SP,2.0,1.0,1.0,135.0,15.56,150.56,5.0,8.298194444444444,-5.1291319444444445,1,0
1454fd9eec5f4140bdbea254680361e5,delivered,2017-11-24 21:05:51,2017-12-20 16:23:54,2017-12-27,2017-11,vacaria,RS,1.0,1.0,1.0,99.0,17.94,116.94,1.0,25.804201388888888,-6.316736111111111,1,0
f4717f2753751da5c2494961edb24386,delivered,2017-11-29 14:27:34,2017-12-09 01:09:14,2017-12-20,2017-11,monte azul paulista,SP,1.0,1.0,1.0,29.9,11.85,41.75,5.0,9.445601851851851,-10.951921296296296,1,0
beda117d944f8b1067fa38d063eff0e7,delivered,2017-11-01 18:02:58,2017-11-09 16:04:45,2017-12-04,2017-11,sao paulo,SP,1.0,1.0,1.0,39.9,15.1,55.0,5.0,7.917905092592592,-24.330034722222223,1,0
dcd8f0cb152fc6a01d1f98726d00696c,delivered,2017-11-12 18:40:08,2017-11-22 01:41:08,2017-11-27,2017-11,jundiai,SP,1.0,1.0,1.0,89.9,11.83,101.73,4.0,9.292361111111113,-4.929768518518519,1,0
f9466c5c1ba729ca78ab94232fd4e8de,delivered,2017-11-24 20:44:16,2017-12-06 18:30:10,2017-12-15,2017-11,ibitinga,SP,1.0,1.0,1.0,56.99,11.9,68.89,5.0,11.906875,-8.229050925925925,1,0
720e866ff68ce671cb5b7d04eaeac897,delivered,2017-11-24 01:44:28,2017-12-02 15:11:20,2017-12-26,2017-11,montes claros,MG,1.0,1.0,1.0,179.0,40.58,219.58,5.0,8.560324074074074,-23.36712962962963,1,0
